Base potencial revisada[Producto_],Base potencial revisada[RM/REIQ],Base potencial revisada[Cultivo],Base potencial revisada[Zona.País],[SumUtilidad_potencial___M_],[SumVolumen_potencial__kL_],[Sumha_s_Total],[Sumha_s_Potencial],[AverageK_L_ha],[AverageFrec__Aplicación],Anexar14.Volumen,Vol 2022,Vol 2023
AGROMIL PLUS REACTMAXX,FORMAQ,NOGAL,Mx,10.91140568,9,34200,20000,0.5,3,922,0.06,0.7%
AGROMIL PLUS REACTMAXX,FORMAQ,MELONES,Mx,3.273421704,2.7,6000,6000,0.5,3,3791,1.716,63.6%
AGROMIL PLUS REACTMAXX,FORMAQ,CHILES PICOSOS,Mx,2.182281136,1.8,4900,4000,0.5,3,3789,1.516,84.2%
AGROMIL PLUS REACTMAXX,FORMAQ,TOMATES,Mx,0.567393095,0.468,650,650,0.8,3,2083,0.592,126.5%
AGROMIL V,FORMAQ,MELONES,Mx,1.11427885,3.6,6000,6000,1,2,3366,1.471,40.9%
AGROMIL V,FORMAQ,CHILES PICOSOS,Mx,0.371426283,1.2,4900,2000,1,2,1911,0.419,34.9%
AGROMIL V,FORMAQ,TOMATES,Mx,0.137140395,0.39,650,650,1,2,1008,0.159,40.8%
AGROMIL V,FORMAQ,CUCURBITACEAS,Mx,0.026411051,0.075,250,250,0.5,2,,,0.0%
BRX COLOR,FORMAQ,MELONES,Mx,0.218181818,0.6,6000,1000,1,2,79,,0.0%
JUNIPERUS STRESSOFF,FORMAQ,NOGAL,Mx,8.505585002,36,34200,20000,2,3,,,0.0%
JUNIPERUS STRESSOFF,FORMAQ,MELONES,Mx,1.701117,7.2,6000,6000,1,4,12116,3.694,51.3%
JUNIPERUS STRESSOFF,FORMAQ,CHILES PICOSOS,Mx,0.587993047,2.7,4900,3000,1,3,8033,2.323,86.0%
JUNIPERUS STRESSOFF,FORMAQ,TOMATES,Mx,0.276431513,1.17,650,650,2,3,5700,1.915,163.7%
JUNIPERUS STRESSOFF,FORMAQ,CUCURBITACEAS,Mx,0.100765522,0.45,250,250,2,3,,,0.0%
QUERKUS SMARTSELECT,FORMAQ,MELONES,Mx,1.368964116,7.2,6000,6000,2,2,5034,1.926,26.8%
QUERKUS SMARTSELECT,FORMAQ,CHILES PICOSOS,Mx,0.912642744,4.8,4900,4000,2,2,3870,1.185,24.7%
QUERKUS SMARTSELECT,FORMAQ,TOMATES,Mx,0.117933747,0.78,650,650,2,2,1626,0.513,65.8%
QUERKUS SMARTSELECT,FORMAQ,CUCURBITACEAS,Mx,0.040666174,0.3,250,250,2,2,,,0.0%
ROOTING ADSTRONG,FORMAQ,MELONES,Mx,0.884365938,1.8,6000,3000,1,2,2038,0.648,36.0%
ROOTING ADSTRONG,FORMAQ,CHILES PICOSOS,Mx,0.883644332,1.8,4900,2000,1.5,2,1749,0.704,39.1%
ROOTING ADSTRONG,FORMAQ,TOMATES,Mx,0.088364433,0.18,650,300,1,2,2062,0.512,284.4%
ROOTING SMARTSELECT,FORMAQ,NOGAL,Mx,5.206608643,12,34200,10000,2,2,,,0.0%
ROOTING SMARTSELECT,FORMAQ,CHILES PICOSOS,Mx,1.041321729,2.4,4900,2000,2,2,5410,1.678,69.9%
ROOTING SMARTSELECT,FORMAQ,MELONES,Mx,0.780991296,1.8,6000,3000,1,2,6612,2.036,113.1%
ROOTING SMARTSELECT,FORMAQ,TOMATES,Mx,0.136673477,0.315,650,350,1.5,2,2894,1.322,419.7%
ROOTING SMARTSELECT,FORMAQ,CUCURBITACEAS,Mx,0.130165216,0.3,250,250,2,2,,,0.0%
ACIGGIB ADSTRONG,FV,PIÑA,Mx,2.372699145,2.25,23000,15000,0.5,1,1248,,0.0%
ACIGGIB ADSTRONG,FV,CÍTRICOS,Mx,1.516611111,1.35,80000,30000,0.05,3,457,,0.0%
AGROMIL PLUS REACTMAXX,FV,PIÑA,Mx,22.50214848,24,23000,20000,2,2,20825,6.241,26.0%
AGROMIL PLUS REACTMAXX,FV,CÍTRICOS,Mx,16.42752185,18,60000,30000,1,2,9867,2.248,12.5%
AGROMIL PLUS REACTMAXX,FV,PAPA,Mx,1.368960154,1.5,3000,2500,1,2,4513,0.943,62.9%
AGROMIL V,FV,CÍTRICOS,Mx,8.855304554,36,80000,40000,1,3,14823,4.883,13.6%
AGROMIL V,FV,PIÑA,Mx,2.035920545,8.4,23000,7000,1,4,40492,8.071,96.1%
AGROMIL V,FV,PAPA,Mx,0.737942046,3,3000,2500,2,2,7730,1.749,58.3%
AV5G BIOACTIVE,FV,PIÑA,Mx,27.46706948,18,23000,15000,1,4,,,0.0%
AV5G BIOACTIVE,FV,CÍTRICOS,Mx,26.18893034,18,80000,20000,1,3,960,,0.0%
AV5G BIOACTIVE,FV,TOMATES,Mx,0.654723259,0.45,500,500,1,3,,,0.0%
BRX COLOR,FV,TOMATES,Mx,0.043636364,0.12,500,200,1,2,,,0.0%
JUNIPERUS STRESSOFF,FV,CÍTRICOS,Mx,12.86157,72,80000,40000,2,3,13667,3.669,5.1%
JUNIPERUS STRESSOFF,FV,PIÑA,Mx,4.823088751,27,23000,15000,3,2,29199,8.352,30.9%
JUNIPERUS STRESSOFF,FV,PAPA,Mx,0.74830522,4.5,3000,2500,3,2,8518,2.627,58.4%
QUERKUS SMARTSELECT,FV,PIÑA,Mx,1.746548001,18,23000,15000,2,2,15199,3.899,21.7%
QUERKUS SMARTSELECT,FV,PAPA,Mx,1.019754288,7.5,3000,2500,5,2,7743,2.135,28.5%
ROOTING ADSTRONG,FV,CÍTRICOS,Mx,9.638489071,27,80000,30000,3,1,4707,1.906,7.1%
ROOTING ADSTRONG,FV,PAPA,Mx,0.535471615,1.5,3000,2500,2,1,3259,0.3,20.0%
ROOTING SMARTSELECT,FV,PIÑA,Mx,7.031895557,21.6,23000,18000,2,2,33918,12.618,58.4%
ROOTING SMARTSELECT,FV,TOMATES,Mx,0.157010174,0.45,500,500,1.5,2,,,0.0%
ACIGGIB ADSTRONG,HORMONAS,FLORES DE CORTE,Mx,0.659133948,0.72,7000,6000,0.2,2,534,,0.0%
AGROMIL PLUS REACTMAXX,HORMONAS,FLORES DE CORTE,Mx,3.757104369,3.6,7000,6000,1,2,11210,3.714,103.2%
AGROMIL PLUS REACTMAXX,HORMONAS,PAPA,Mx,2.504736246,2.4,5852,4000,1,2,8075,3.972,165.5%
AGROMIL PLUS REACTMAXX,HORMONAS,CUCURBITACEAS,Mx,1.268022725,1.215,2700,2700,0.5,3,,,0.0%
AGROMIL PLUS REACTMAXX,HORMONAS,TOMATES,Mx,0.901705049,0.864,1400,1200,0.8,3,13320,2.99,346.1%
AGROMIL PLUS REACTMAXX,HORMONAS,HORTALIZAS,Mx,0.158642821,0.15,4000,2000,0.25,1,,,0.0%
AGROMIL V,HORMONAS,FLORES DE CORTE,Mx,1.061930455,3.6,7000,4000,1,3,4574,0.922,25.6%
AGROMIL V,HORMONAS,TOMATES,Mx,0.212386091,0.72,1400,1200,1,2,9185,2.702,375.3%
AGROMIL V,HORMONAS,HORTALIZAS,Mx,0.176988409,0.6,4000,2000,0.5,2,,,0.0%
AGROMIL V,HORMONAS,PAPA,Mx,0.176988409,0.6,5852,2000,0.5,2,3290,1.464,244.0%
AGROMIL V,HORMONAS,CUCURBITACEAS,Mx,0.106193046,0.36,2700,1200,0.5,2,,,0.0%
AV5G BIOACTIVE,HORMONAS,FLORES DE CORTE,Mx,3.928339552,2.7,7000,3000,1,3,,,0.0%
AV5G BIOACTIVE,HORMONAS,HORTALIZAS,Mx,1.74592869,1.2,4000,2000,1,2,,,0.0%
AV5G BIOACTIVE,HORMONAS,PAPA,Mx,1.74592869,1.2,5852,2000,1,2,,,0.0%
JUNIPERUS STRESSOFF,HORMONAS,FLORES DE CORTE,Mx,0.578670147,3,7000,5000,1,2,162,0.06,2.0%
JUNIPERUS STRESSOFF,HORMONAS,TOMATES,Mx,0.416642506,2.16,1400,1200,2,3,1769,0.804,37.2%
QUERKUS SMARTSELECT,HORMONAS,FLORES DE CORTE,Mx,0.319161744,3,7000,5000,2,1,648,0.28,9.3%
QUERKUS SMARTSELECT,HORMONAS,TOMATES,Mx,0.153197637,1.44,1400,1200,2,2,464,0.12,8.3%
QUERKUS SMARTSELECT,HORMONAS,HORTALIZAS,Mx,0.127664698,1.2,4000,2000,2,1,,,0.0%
